technology_id,name,slug,url,description,category,category_slug,parent_category,parent_category_slug,jobs,companies,companies_found_last_week
8,ActiveCampaign,activecampaign,http://www.activecampaign.com,"Recognized as the leader in the marketing and sales automation for small businesses, ActiveCampaign helps over 70k growing businesses meaningfully connect and engage with their customers with personalized, intelligence-driven messages. ",Marketing Automation Platforms,marketing-automation,Marketing,marketing,9845,4728,43
12,Acuity Scheduling,acuity-scheduling,https://acuityscheduling.com,"It is easy-to-use and user friendly scheduling solution using which clients can quickly view real-time availability, and book their appointments accordingly. It allows sending customized and branded reminders, confirmations and follow-ups for a more personalized customer experience.",Appointments And Scheduling,appointments-and-scheduling,Customer Management,customer-management,322,167,4
17,Adobe Illustrator,adobe-illustrator,https://www.adobe.com/ru/products/illustrator.html,"The industry-standard vector graphics app lets you create logos, icons, sketches, typography, and complex illustrations for print, web, interactive, video, and mobile.",Graphic Design Software,graphic-design-software,Product And Design,product-and-design,435235,181373,1201
18,Adobe Photoshop,adobe-photoshop,https://www.adobe.com/,"It is the best in the world of graphic design and image processing software that will realize any of your ideas. Create and enhance photos, illustrations and 3D graphic objects.",Graphic Design Software,graphic-design-software,Product And Design,product-and-design,539058,214280,1397
36,AfterShip,aftership,https://www.aftership.com,"AfterShip provides shipment tracking API for online retailers, supporting 200 carriers worldwide.",Shipping And Fulfillment,shipping-and-fulfillment,E-commerce,e-commerce,77,44,0
43,Aha!,aha,http://www.aha.io/,"Set product strategy, visualize and share roadmaps, and articulate features so your product development teams can build what matters. ",Project Management,project-management,Product And Design,product-and-design,3,2,0
46,Aircall,aircall,http://aircall.io,The phone system for modern business,Business Phone Systems,business-phone-systems,Communications,communications,2689,945,15
51,Airtable,airtable,https://airtable.com,"Working with Airtable is as fast and easy as editing a spreadsheet. But only Airtable is backed by the power of a full database, giving you rich features far beyond what a spreadsheet can offer.",Forms And Surveys,forms-and-surveys,Customer Management,customer-management,31151,9414,87
58,Akka,akka,http://akka.io/,"Akka is a toolkit and runtime for building highly concurrent, distributed, and resilient message-driven applications on the JVM.","Queueing, Messaging And Background Processing",queueing-messaging-and-background-processing,Programming Languages And Frameworks,programming-languages-and-frameworks,6724,1997,13
62,Algolia,algolia,https://www.algolia.com/,Our mission is to make you a search expert. Push data to our API to make it searchable in real time. Build your dream front end with one of our web or mobile UI libraries. Tune relevance and get analytics right from your dashboard.,Search,search,Programming Languages And Frameworks,programming-languages-and-frameworks,2926,1110,3
76,Amazon Redshift,amazon-redshift,http://aws.amazon.com/redshift/,"It is optimized for data sets ranging from a few hundred gigabytes to a petabyte or more and costs less than $1,000 per terabyte per year, a tenth the cost of most traditional data warehousing solutions.",Data Warehousing,data-warehousing,Business Intelligence And Analytics,business-intelligence-and-analytics,54343,13843,98
77,Amazon SES,amazon-ses,http://aws.amazon.com/ses,"Amazon SES eliminates the complexity and expense of building an in-house email solution or licensing, installing, and operating a third-party email service. The service integrates with other AWS services, making it easy to send emails from applications being hosted on services such as Amazon EC2. ",Email Tracking,email-tracking,Marketing,marketing,4854,2055,6
78,Amazon Web Services,amazon-web-services,https://www.amazon.com/,"It provides on-demand cloud computing platforms to individuals, companies and governments. It offers reliable, scalable, and inexpensive cloud computing services.",Infrastructure-as-a-Service (IaaS),infrastructure-as-a-service,Platform And Storage,platform-and-storage,1984083,188567,1218
81,Amplitude,amplitude,https://amplitude.com/,Amplitude provides scalable mobile analytics that helps companies leverage data to create explosive user growth. Anyone in the company can use Amplitude to pinpoint the most valuable behavioral patterns within hours. ,Mobile Analytics,mobile-analytics,Business Intelligence And Analytics,business-intelligence-and-analytics,93327,12134,50
86,Android SDK,android,http://developer.android.com/,Android provides a rich application framework that allows you to build innovative apps and games for mobile devices in a Java language environment.,Application Frameworks,application-frameworks,Programming Languages And Frameworks,programming-languages-and-frameworks,24494,9760,38
95,Ansible,ansible,http://www.ansible.com/,"Ansible is an IT automation tool. It can configure systems, deploy software, and orchestrate more advanced IT tasks such as continuous deployments or zero downtime rolling updates. Ansible’s goals are foremost those of simplicity and maximum ease of use.",Configuration Management,configuration-management,Devops And Development,devops-and-development,383087,54158,299
100,Apache Parquet,apache-parquet,https://parquet.apache.org/,A free and open-source column-oriented data storage format ,Relational Databases,relational-databases,Programming Languages And Frameworks,programming-languages-and-frameworks,1183,479,9
106,Apify,apify,https://apify.com/,"Apify is a platform that enables developers to create, customize and run cloud-based programs called actors that can, among other things, be used to extract data from any website using a few lines of JavaScript.",Ecommerce Analytics,ecommerce-analytics,E-commerce,e-commerce,48,38,1
109,Apollo,apollo,http://www.apollostack.com/,"Build a universal GraphQL API on top of your existing REST APIs, so you can ship new application features fast without waiting on backend changes.",Project Collaboration,project-collaboration,Collaboration,collaboration,11938,3818,18
114,Appium,appium,https://saucelabs.com/,"Appium is an open source test automation framework for use with native, hybrid, and mobile web apps. It drives iOS and Android apps using the WebDriver protocol. Appium is sponsored by Sauce Labs and a thriving community of open source developers.",Mobile Test Automation,mobile-test-automation,Testing And QA,testing-and-qa,40590,13110,107
121,BigML,bigml,https://bigml.com,"BigML provides a hosted machine learning platform for advanced analytics. Through BigML's intuitive interface and/or its open API and bindings in several languages, analysts, data scientists and developers alike can quickly build fully actionable predictive models and clusters that can easily be incorporated into related applications and services.",Data Science And Machine Learning,data-science-and-machine-learning,Business Intelligence And Analytics,business-intelligence-and-analytics,38,21,1
130,AppSheet,appsheet,https://www.appsheet.com/,"It is a no-code platform trusted by over 200,000 app creators around the world. Common use cases include field service and data capture, transportation, compliance reports, delivery tracking, property surveys, and a whole lot more.",Team Collaboration,team-collaboration,Collaboration,collaboration,884,459,5
147,Aspose,aspose,https://www.aspose.com/,"It is a file formats API provider, provides .NET, Java, Android, SharePoint, Reporting Services, and cloud-based APIs for document generation, conversion, and automation.",Backend-as-a-Service,backend-as-a-service,Programming Languages And Frameworks,programming-languages-and-frameworks,432,221,0
169,AWeber,aweber,https://www.aweber.com/,"It is an email marketing service provider with over 100,000 small business clients world wide. It helps people keep in touch with the subscribers who have requested to be on their mailing list. ",Email Marketing Platforms,email-marketing-platforms,Marketing,marketing,336,162,2
177,Azure DevOps,azure-devops,https://visualstudio.com/,"Azure DevOps provides unlimited private Git hosting, cloud build for continuous integration, agile planning, and release management for continuous delivery to the cloud and on-premises.  Includes broad IDE support.",Development Tools,development-tools,Devops And Development,devops-and-development,308167,50220,375
193,BambooHR,bamboohr,https://www.bamboohr.com/,"It collects and organizes all the information you gather throughout the employee life cycle, then helps you use it to achieve great things. Whether you’re hiring, onboarding, preparing compensation, or building culture, BambooHR gives you the time and insights to focus on your most important asset—your people.",HRMS,hrms,HR,hr,77247,12077,43
200,Bannerbear,bannerbear,https://www.bannerbear.com/,"It is a simple API that auto-generates social media visuals, ecommerce banners and more. Whether you are building an app or creating automations for clients,
it has the image generation tools to save you time and solve your problems.
Template management, test environments, API, integrations — it's all here",Image Processing API,image-processing-api,Programming Languages And Frameworks,programming-languages-and-frameworks,9,6,0
213,Beamer,beamer,https://www.getbeamer.com/,"Use Beamer to announce new features, your latest releases, and relevant news. Improve user engagement with a quick and easy changelog.",Push Notifications,push-notifications,Marketing,marketing,1599,644,3
240,Bitly,bitly,http://bitly.com,"Get the most out of your social and online marketing efforts. Own, understand and activate your best audience through the power of the link with Bitly Brand Tools.",Marketing Analytics,marketing-analytics,Marketing,marketing,624,322,4
245,Blogger,blogger,https://www.blogger.com,"Since Blogger was launched in 1999, blogs have reshaped the web, impacted politics, shaken up journalism, and enabled millions of people to have a voice and connect with others.",Blogging Platform,blogging-platform,Devops And Development,devops-and-development,6899,3016,18
257,Bootstrap,bootstrap,http://getbootstrap.com/,"Bootstrap is the most popular HTML, CSS, and JS framework for developing responsive, mobile first projects on the web.",Frontend Framework,front-end-framework,Programming Languages And Frameworks,programming-languages-and-frameworks,175508,52546,197
263,Constant Contact,constant-contact,http://www.constantcontact.com/email-marketing/index.jsp,"As an industry leader in permission based online marketing, Constant Contact partners with the leading providers of online marketing and social media marketing solutions. ",Email Marketing Platforms,email-marketing-platforms,Marketing,marketing,23477,13254,78
265,Box,box,http://developers.box.com/,The Box API gives you access to the content management features you see in our web app and lets you extend them for use in your own app. It strives to be RESTful and is organized around the main resources you’re familiar with from the Box web interface.,Project Collaboration,project-collaboration,Collaboration,collaboration,231897,38159,302
275,Brave,brave,https://brave.com,"It is a fast, private and secure web browser for PC and mobile. It blocks ads and trackers. It prevents you from being tracked by sneaky advertisers, malware and pop-ups.",Web Framework,web-framework,Programming Languages And Frameworks,programming-languages-and-frameworks,33529,3581,26
276,Breeze,breeze,https://www.breeze.pm/,"It is a project management tool that your whole team will actually love using. The simple way to organize, plan and track progress on your projects.",Project Management,project-management,Product And Design,product-and-design,3420,1194,5
287,Bubble,bubble,https://bubble.io/,"It is a visual programming language that lets you build a fully-functional web app without writing code. Users have built marketplaces, CRM tools, social networks.

Engineers can focus on new features and add them as plugins with code, while business people can focus on the customer-facing product.",Team Collaboration,team-collaboration,Collaboration,collaboration,1070,621,10
290,BugHerd,bugherd,http://www.bugherd.com,"BugHerd embeds directly into a website so bugs are flagged and managed visually without the need to fill out lengthy forms. BugHerd also lets your client and stakeholders log bugs visually right from within your website or web application. They never have to switch into another app, and it’s easier and faster than sending an email.",Bug And Issue Tracking,bug-and-issue-tracking,Devops And Development,devops-and-development,193,85,1
